"","MonthName.1","Network.1","Daypart.1","SpotType.1","Length.1","Coefficient.1","Intercept.1","Pvalue.1","Rsquare.1","AdjustedRsquare.1","Cost.1","Spot.1","Contact.1","Lead.1","ContactPerSpot.1","CostPerSpot.1","CostPerContact.1","CostPerLead.1","MaxCostPerSpot_BasedOnCPC.1","MaxCostPerSpot_BasedOnCPL.1","Max...Spot.MarginalContactLimitof1..1","Max...Spot.CostPerContact..1","Max...Spot.CostPerLead..1","CostPerCall.1","CostPerLead.1.1","Cost.1.1","NoOfSpots.1","CostPerSpot.1.1","Guide.1","Historical.CVR.1","Planned.Contacts.1","Planned.Leads.1"
"1","January","A","All of Them","National","All","2865.033","-10882.15","0.006056532","0.7410062","0.6978406","1983520","12740","68600","38220","5.38461538461539","155.692307692308","28.9142857142857","51.8974358974359","430.769230769231","15900","2865","46",NA,"17.7980425435924","31.9452045654222","180044","1524","118","Good","0.557142857142857","10115.943905574","5636.02589024837"
"2","January","B","All of Them","National","All","11355.42","-69699.89","0.0001697088","0.9192613","0.9058048","2524500","37750","193750","113250","5.13245033112583","66.8741721854305","13.0296774193548","22.2913907284768","410.596026490066","15900","4000","484",NA,"10.2296445633152","17.5010475420956","180154","2184","82","Good","0.584516129032258","17610.9735665748","10293.8980976237"
"3","January","A","Day Time","National","All","9499.078","-60648.84","0.007960311","0.9998437","0.9996873","652960","6800","35600","20400","5.23529411764706","96.0235294117647","18.3415730337079","32.0078431372549","418.823529411765","15900","4000","673",NA,"-3.04375308500625","-5.3116475405011","30000","210","142","Good","0.573033707865168","-9856.25284382699","-5647.96511275479"
"4","January","A","Early Morning","National","All","4098.168","-22182.59","0.02339703","0.9537534","0.93063","647360","4000","21600","12000","5.4","161.84","29.9703703703704","53.9466666666667","432","15900","4000","247",NA,"19.242464711256","34.6364364802608","60010","480","125","Good","0.555555555555556","3118.62336246857","1732.56853470476"
"5","0","A","Overnight","National","All","959.3459","-3001.224","0.2240022","0.881219","0.7624381","361120","740","4600","2220","6.21621621621622","488","78.504347826087","162.666666666667","497.297297297298","15900","0","0","0","0","0","0","0","0","Directional","0","0","0"
"6","January","A","Weekend Day","National","All","2242.718","-10947.92","0.02717475","0.998179","0.996358","322080","1200","6800","3600","5.66666666666667","268.4","47.3647058823529","89.4666666666667","453.333333333334","15900","2243","146",NA,"20.3188223577779","38.3799977869138","60012","492","121","Good","0.529411764705882","2953.51762731603","1563.62697916731"
"7","January","B","Day Time","National","All","3877.393","-21523.26","NaN","1","NaN","150060","1560","8100","4680","5.19230769230769","96.1923076923077","18.5259259259259","32.0641025641026","415.384615384615","15900","3877","280",NA,"16.4506457749306","28.4722715335338","60040","660","90","Do not use","0.577777777777778","3649.70474846014","2108.7182991103"
"8","January","B","Early Fringe","National","All","16012.04","-111807.4","0.01288832","0.9743895","0.9615842","955520","12450","64150","37350","5.15261044176707","76.74859437751","14.8950896336711","25.5828647925033","412.208835341366","15900","4000","1150",NA,"-1.96032397174972","-3.36692858869464","30034","414","72","Good","0.582229150428683","-15320.9369639002","-8920.29611226302"
"9","0","B","Late Fringe","National","All","NaN","20100","NaN","0","0","203800","3940","20100","11820","5.10152284263959","51.7258883248731","10.1393034825871","17.2419627749577","408.121827411167","15900","0","0","0","0","0","0","0","0","Do not use","0","0","0"
"10","0","B","Prime","National","All","21011.36","-152152","0.006810914","0.9864246","0.9796368","862340","14840","75900","44520","5.11455525606469","58.1091644204852","11.3615283267457","19.3697214734951","409.164420485175","15900","0","0","0","0","0","0","0","0","Good","0","0","0"
"11","January","B","Weekend Day","National","All","18599.6","-132624.1","NaN","1","NaN","352780","4960","25500","14880","5.14112903225806","71.125","13.8345098039216","23.7083333333333","411.290322580645","15900","4000","1346",NA,"-5.94662862607092","-10.1907950245167","60051","726","82","Do not use","0.583529411764706","-10098.3269304438","-5892.67077352956"
"12","January","A","Early Fringe","NATIONAL","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30022","342","$87.78 ","NA","","",""
"13","January","B","Early Morning","NATIONAL","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30029","384","$78.20 ","NA","","",""
"14","January","B","Day Time","NATIONAL","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30033","408","$73.61 ","NA","","",""
"15","January","C","Day Time","NATIONAL","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30004","234","$128.22 ","NA","","",""
"16","January","C","Early Morning","NATIONAL","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30005","240","$125.02 ","NA","","",""
"17","January","C","Weekend Day","NATIONAL","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30006","246","$121.98 ","NA","","",""
"18","January","E","Day Time","NATIONAL","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30008","258","$116.31 ","NA","","",""
